Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
EUR-DSCEONIA-OIS,EUR-FIXED-TERM-EONIA-OIS-1M,muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-1M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M,
EUR-DSCEONIA-OIS,EUR-FIXED-TERM-EONIA-OIS-2M,muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-2M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M,
EUR-DSCEONIA-OIS,EUR-FIXED-TERM-EONIA-OIS-3M,muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,
EUR-DSCEONIA-OIS,EUR-FIXED-TERM-EONIA-OIS-6M,muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-1Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-2Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-3Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-4Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-4Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-5Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-6Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-6Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y,
EUR-DSCEONIA-OIS,EUR-FIXED-1Y-EONIA-OIS-7Y,muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-7Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y,
